,ID,Number,Address,Latitude,Longitude,DistritoId,DistritoName,BarrioId,BarrioName,CardinalId,CardinalName,RegionId,RegionName
205,209,201,"José Abascal, frene al nº 2",40.438694399999996,-3.7038333,7,Chamberi,39,Arapiles,0,O,1,O
206,210,202,Calle Santander esq. Avda. Filipinas,40.4411388,-3.7080832999999997,7,Chamberi,43,Vallehermoso,0,O,1,O
207,211,203,"General Ampudia, 2",40.44175,-3.7144722000000003,7,Chamberi,43,Vallehermoso,0,O,0,O
208,212,204,Doctor Santero 1,40.447666600000005,-3.7041665999999998,7,Chamberi,43,Vallehermoso,1,N,1,N
209,213,205,"Navarra, 1",40.4535,-3.7032777,6,Tetuan,32,Bellas Vistas,1,N,1,N
210,214,206,"Marqués de Viana, 3",40.46075020000001,-3.6989925,6,Tetuan,37,Berruguete,1,N,1,N
211,215,207,"Azucenas, 2",40.4630277,-3.6973333,6,Tetuan,36,Valdeacederas,1,N,1,N
212,216,208,"Paseo Castellana, 216",40.4663611,-3.6886388,6,Tetuan,34,Castillejos,1,N,1,N
213,217,209,Paseo Castellana (Fundación Canal),40.4659166,-3.6884722,6,Tetuan,34,Castillejos,1,N,1,N
214,218,210,Tres Cruces 7,40.419674,-3.7026735,1,Centro,6,Sol,0,O,0,O
215,219,211,Desengaño 1,40.4206389,-3.7047165,1,Centro,6,Sol,0,O,0,O
216,220,212,"Marqués de Vadillo, 9",40.398247,-3.716591,11,Carabanchel,68,San Isidro,3,S,3,S
